,종목코드,종목명,종류
1626,095190,이엠코리아,KOSDAQ
1627,091120,이엠텍,KOSDAQ
1628,102460,이연제약,KOSPI
1629,039030,이오테크닉스,KOSDAQ
1630,088290,이원컴포텍,KOSDAQ
1631,084680,이월드,KOSPI
1632,033600,이젠텍,KOSDAQ
1633,035810,이지바이오,KOSDAQ
1634,090850,이지웰페어,KOSDAQ
1635,092130,이크레더블,KOSDAQ
1636,016250,이테크건설,KOSDAQ
1637,134060,이퓨쳐,KOSDAQ
1638,001840,이화공영,KOSDAQ
1639,000760,이화산업,KOSPI
1640,014990,인디에프,KOSPI
1641,079950,인베니아,KOSDAQ
1642,060150,인선이엔티,KOSDAQ
1643,033230,인성정보,KOSDAQ
1644,006490,인스코비,KOSPI
1645,037330,인지디스플레,KOSDAQ
1646,023800,인지컨트롤스,KOSPI
1647,034590,인천도시가스,KOSPI
1648,083640,인콘,KOSDAQ
1649,216050,인크로스,KOSDAQ
1650,049070,인탑스,KOSDAQ
1651,119610,인터로조,KOSDAQ
1652,158310,인터불스,KOSDAQ
1653,017250,인터엠,KOSDAQ
1654,129260,인터지스,KOSPI
1655,108790,인터파크,KOSDAQ
1656,035080,인터파크홀딩스,KOSDAQ
1657,051370,인터플렉스,KOSDAQ
1658,064290,인텍플러스,KOSDAQ
1659,189300,인텔리안테크,KOSDAQ
1660,150840,인트로메딕,KOSDAQ
1661,048530,인트론바이오,KOSDAQ
1662,023810,인팩,KOSPI
1663,175140,인포마크,KOSDAQ
1664,115310,인포바인,KOSDAQ
1665,039290,인포뱅크,KOSDAQ
1666,041020,인프라웨어,KOSDAQ
1667,071200,인피니트헬스케어,KOSDAQ
1668,101930,인화정공,KOSDAQ
1669,078940,일경산업개발,KOSDAQ
1670,249420,일동제약,KOSPI
1671,000230,일동홀딩스,KOSPI
1672,013360,일성건설,KOSPI
1673,013367,일성건설2우B,KOSPI
1674,003120,일성신약,KOSPI
1675,068330,일신바이오,KOSDAQ
1676,003200,일신방직,KOSPI
1677,007110,일신석재,KOSPI
1678,058450,일야,KOSDAQ
1679,007570,일양약품,KOSPI
1680,007575,일양약품우,KOSPI
1681,008500,일정실업,KOSPI
1682,019540,일지테크,KOSDAQ
1683,081000,일진다이아,KOSPI
1684,020760,일진디스플,KOSPI
1685,020150,일진머티리얼즈,KOSPI
1686,094820,일진에너지,KOSDAQ
1687,103590,일진전기,KOSPI
1688,015860,일진홀딩스,KOSPI
1689,226320,잇츠스킨,KOSPI
1690,950140,잉글우드랩(Reg.S),KOSDAQ
1691,049550,잉크테크,KOSDAQ
1692,043910,자연과환경,KOSDAQ
1693,234920,자이글,KOSDAQ
1694,033240,자화전자,KOSPI
1695,174880,장원테크,KOSDAQ
1696,049630,재영솔루텍,KOSDAQ
1697,000950,전방,KOSPI
1698,065530,전파기지국,KOSDAQ
1699,208140,정다운,KOSDAQ
1700,022220,정산애강,KOSDAQ
1701,040420,정상제이엘에스,KOSDAQ
1702,045510,정원엔시스,KOSDAQ
1703,217190,제너셈,KOSDAQ
1704,095700,제넥신,KOSDAQ
1705,187420,제노포커스,KOSDAQ
1706,123330,제닉,KOSDAQ
1707,159580,제로투세븐,KOSDAQ
1708,147830,제룡산업,KOSDAQ
1709,033100,제룡전기,KOSDAQ
1710,019570,제미니투자,KOSDAQ
1711,079370,제우스,KOSDAQ
1712,054950,제이브이엠,KOSDAQ
1713,090470,제이스텍,KOSDAQ
1714,137950,제이씨케미칼,KOSDAQ
1715,033320,제이씨현,KOSDAQ
1716,194370,제이에스코퍼레이션,KOSPI
1717,026040,제이에스티나,KOSDAQ
1718,126880,제이엔케이히터,KOSDAQ
1719,033050,제이엠아이,KOSDAQ
1720,094970,제이엠티,KOSDAQ
1721,036420,제이콘텐트리,KOSDAQ
1722,089790,제이티,KOSDAQ
1723,030000,제일기획,KOSPI
1724,052670,제일바이오,KOSDAQ
1725,002620,제일약품,KOSPI
1726,001560,제일연마,KOSPI
1727,038010,제일테크노스,KOSDAQ
1728,080220,제주반도체,KOSDAQ
1729,006220,제주은행,KOSPI
1730,089590,제주항공,KOSPI
1731,082270,젬백스,KOSDAQ
1732,044060,조광ILI,KOSDAQ
1733,004910,조광페인트,KOSPI
1734,004700,조광피혁,KOSPI
1735,001550,조비,KOSPI
1736,000480,조선내화,KOSPI
1737,120030,조선선재,KOSPI
1738,034940,조아제약,KOSDAQ
1739,101730,조이맥스,KOSDAQ
1740,067000,조이시티,KOSDAQ
1741,018470,조일알미늄,KOSPI
1742,002600,조흥,KOSPI
1743,001630,종근당,KOSPI
1744,185750,종근당,KOSPI
1745,063160,종근당바이오,KOSPI
1746,033340,좋은사람들,KOSDAQ
1747,036930,주성엔지니어링,KOSDAQ
1748,044380,주연테크,KOSPI
1749,072020,중앙백신,KOSDAQ
1750,000440,중앙에너비스,KOSDAQ
1751,054180,중앙오션,KOSDAQ
1752,043610,지니뮤직,KOSDAQ
1753,155960,지디,KOSDAQ
1754,208350,지란지교시큐리티,KOSDAQ
1755,051160,지어소프트,KOSDAQ
1756,053050,지에스이,KOSDAQ
1757,119850,지엔씨에너지,KOSDAQ
1758,065060,지엔코,KOSDAQ
1759,204840,지엘팜텍,KOSDAQ
1760,013870,지엠비코리아,KOSPI
1761,018290,지엠피,KOSDAQ
1762,071320,지역난방공사,KOSPI
1763,010580,지코,KOSPI
1764,035000,지투알,KOSPI
1765,088790,진도,KOSPI
1766,018120,진로발효,KOSDAQ
1767,109820,진매트릭스,KOSDAQ
1768,086060,진바이오텍,KOSDAQ
1769,036890,진성티이씨,KOSDAQ
1770,003780,진양산업,KOSPI
1771,007370,진양제약,KOSDAQ
1772,010640,진양폴리,KOSPI
1773,100250,진양홀딩스,KOSPI
1774,051630,진양화학,KOSPI
1775,002780,진흥기업,KOSPI
1776,002787,진흥기업2우B,KOSPI
1777,002785,진흥기업우B,KOSPI
1778,085660,차바이오앤,KOSDAQ
1779,900040,차이나그레이트,KOSDAQ
1780,900120,차이나킹,KOSDAQ
1781,900090,차이나하오란,KOSDAQ
1782,009310,참엔지니어링,KOSPI
1783,094850,참좋은레져,KOSDAQ
1784,004650,창해에탄올,KOSDAQ
1785,111820,처음앤씨,KOSDAQ
1786,000650,천일고속,KOSPI
1787,096240,청담러닝,KOSDAQ
1788,013720,청보산업,KOSDAQ
1789,012600,청호컴넷,KOSPI
1790,033250,체시스,KOSPI
1791,047820,초록뱀,KOSDAQ
1792,094360,칩스앤미디어,KOSDAQ
1793,035720,카카오,KOSDAQ
1794,006380,카프로,KOSPI
1795,071850,캐스텍코리아,KOSDAQ
